#num,year,month,date,time[second],SeaIceExtent[km2]
163,1979,09,29,28681200,18350766
164,1979,10,01,28854000,18383334
165,1979,10,03,29026800,18371458
166,1979,10,05,29199600,18277836
167,1979,10,07,29372400,18221932
168,1979,10,09,29545200,18191087
169,1979,10,11,29718000,18214430
170,1979,10,13,29890800,18166175
171,1979,10,15,30063600,18173215
172,1979,10,17,30236400,18067417
173,1979,10,19,30409200,17918702
174,1979,10,21,30582000,17892028
175,1979,10,23,30754800,17749379
176,1979,10,25,30927600,17627974
177,1979,10,27,31100400,17403058
178,1979,10,29,31276800,17260719
179,1979,10,31,31449600,17147022
180,1979,11,02,31622400,16942799
181,1979,11,04,31795200,16841771
182,1979,11,06,31968000,16701496
183,1979,11,08,32140800,16534732
184,1979,11,10,32313600,16283719
185,1979,11,12,32486400,16045785
186,1979,11,14,32659200,15841487
187,1979,11,16,32832000,15562051
188,1979,11,18,33004800,15273453
189,1979,11,20,33177600,15020612
190,1979,11,22,33350400,14728926
191,1979,11,24,33523200,14351477
192,1979,11,26,33696000,13941731
193,1979,11,28,33868800,13609352
194,1979,11,30,34041600,13243334
195,1979,12,02,34214400,12894935
196,1979,12,04,34387200,12489848
197,1979,12,06,34560000,11988805
198,1979,12,08,34732800,11431936
199,1979,12,10,34905600,10837907
200,1979,12,12,35078400,10316109
201,1979,12,14,35251200,9766585
202,1979,12,16,35424000,9048043
203,1979,12,18,35596800,8403160
204,1979,12,20,35769600,7823576
205,1979,12,22,35942400,7214439
206,1979,12,24,36115200,6798646
207,1979,12,26,36288000,6557747
208,1979,12,28,36460800,6296849
209,1979,12,30,36633600,6151527
210,1980,01,01,36806400,5966499
211,1980,01,03,36979200,5855460
212,1980,01,13,37843200,4732412
213,1980,01,15,38016000,4575133
214,1980,01,17,38188800,4454983
215,1980,01,19,38361600,4302568
216,1980,01,21,38534400,4196292
217,1980,01,23,38707200,4030103
218,1980,01,25,38880000,3865873
219,1980,01,27,39052800,3732497
220,1980,01,29,39225600,3611487
221,1980,01,31,39398400,3514178
222,1980,02,02,39571200,3424763
223,1980,02,04,39744000,3288006
224,1980,02,06,39916800,3157827
225,1980,02,08,40089600,3040277
226,1980,02,10,40262400,2976313
227,1980,02,12,40435200,2870086
228,1980,02,14,40608000,2800801
229,1980,02,16,40780800,2718521
230,1980,02,18,40953600,2700217
231,1980,02,20,41126400,2649505
232,1980,02,22,41299200,2595477
233,1980,02,24,41472000,2558118
234,1980,02,26,41644800,2525036
235,1980,03,05,42336000,2907663
236,1980,03,07,42508800,2955673
237,1980,03,09,42681600,3016218
238,1980,03,11,42854400,3147526
239,1980,03,13,43027200,3270762
240,1980,03,15,43200000,3324819
241,1980,03,23,43887600,3772558
242,1980,03,25,44060400,3841463
243,1980,03,27,44233200,3993886
244,1980,03,29,44406000,4124508
245,1980,03,31,44578800,4295834
246,1980,04,02,44751600,4378037
247,1980,04,04,44924400,4524257
248,1980,04,06,45097200,4680036
249,1980,04,08,45270000,4762452
250,1980,04,16,45961200,5522533
251,1980,04,18,46134000,5646795
252,1980,04,20,46306800,5912639
253,1980,04,22,46479600,6156079
254,1980,04,24,46652400,6354883
255,1980,04,26,46825200,6579402
256,1980,04,28,46998000,6796231
257,1980,04,30,47170800,7066216
258,1980,05,02,47343600,7321181
259,1980,05,04,47516400,7562582
260,1980,05,06,47689200,7850778
261,1980,05,08,47862000,8093700
262,1980,05,10,48034800,8418221
263,1980,05,12,48207600,8635731
264,1980,05,14,48380400,8775950
265,1980,05,16,48553200,9041411
266,1980,05,18,48726000,9271081
267,1980,05,20,48898800,9473801
268,1980,05,22,49071600,9766849
269,1980,05,24,49244400,10024829
270,1980,05,26,49417200,10201654
271,1980,05,28,49590000,10460250
272,1980,05,30,49762800,10644106
273,1980,06,01,49935600,10776304
274,1980,06,03,50108400,10995470
275,1980,06,05,50281200,11241956
276,1980,06,07,50454000,11528567
277,1980,06,09,50626800,11820028
278,1980,06,11,50799600,12139119
279,1980,06,13,50972400,12506009
280,1980,06,15,51145200,12816164
281,1980,06,17,51318000,13051358
282,1980,06,19,51490800,13245780
283,1980,06,21,51663600,13480816
284,1980,06,23,51836400,13785086
285,1980,06,25,52009200,13941673
286,1980,06,27,52182000,14093637
287,1980,06,29,52354800,14212580
288,1980,07,01,52527600,14401459
289,1980,07,03,52700400,14584516
290,1980,07,05,52873200,14850172
291,1980,07,07,53046000,15065070
292,1980,07,09,53218800,15213148
293,1980,07,11,53391600,15375224
294,1980,07,13,53564400,15617912
295,1980,07,15,53737200,15779297
296,1980,07,17,53910000,15919026
297,1980,07,19,54082800,16024831
298,1980,07,21,54255600,16171073
299,1980,07,23,54428400,16351628
300,1980,07,25,54601200,16550269
301,1980,07,27,54774000,16626465
302,1980,07,29,54946800,16657433
303,1980,07,31,55119600,16742631
304,1980,08,02,55292400,17008560
305,1980,08,04,55465200,17289486
306,1980,08,06,55638000,17444855
307,1980,08,08,55810800,17584565
308,1980,08,10,55983600,17732957
309,1980,08,12,56156400,17957177
310,1980,08,14,56329200,18065918
311,1980,08,16,56502000,18073916
312,1980,08,18,56674800,18138960
313,1980,08,20,56847600,18284693
314,1980,08,22,57020400,18349610
315,1980,08,24,57193200,18454733
316,1980,08,26,57366000,18544547
317,1980,08,28,57538800,18562518
318,1980,08,30,57711600,18657122
319,1980,09,01,57884400,18757684
320,1980,09,03,58057200,18800822
321,1980,09,05,58230000,18810348
322,1980,09,07,58402800,18803714
323,1980,09,09,58575600,18792092
324,1980,09,11,58748400,18851500
325,1980,09,13,58921200,18949823
326,1980,09,15,59094000,18966148
327,1980,09,17,59266800,19027586
328,1980,09,19,59439600,19096979
329,1980,09,21,59612400,19157000
330,1980,09,23,59785200,19194983
331,1980,09,25,59958000,19152354
332,1980,09,27,60130800,19105091
333,1980,09,29,60303600,19076446
334,1980,10,01,60476400,18981428
335,1980,10,03,60649200,19011984
336,1980,10,05,60822000,18941918
337,1980,10,07,60994800,18911573
338,1980,10,09,61167600,18884674
339,1980,10,11,61340400,18935804
340,1980,10,13,61513200,18969286
341,1980,10,15,61686000,18901140
342,1980,10,17,61858800,18775788
343,1980,10,19,62031600,18587006
344,1980,10,21,62204400,18521323
345,1980,10,23,62377200,18461023
346,1980,10,25,62550000,18388590
347,1980,10,27,62726400,18305576
348,1980,10,29,62899200,18118516
349,1980,10,31,63072000,17955498
350,1980,11,02,63244800,17781342
